Maintenance_ID,Maintenance_Date,Plant_ID,Equipment_ID,Maintenance_Type,Action_Taken,Downtime_Min,Maintenance_Cost_USD,Technician_Team
MT-00033,2025-04-20 02:45:00,11,EQ-00275,Component Replacement,Breaker replaced,293,1304.9,Team B
MT-00034,2025-01-16 04:15:00,16,EQ-00428,Component Replacement,Inverter reset performed,341,2107.92,Team C
MT-00035,2025-05-17 02:45:00,11,EQ-00294,Preventive Maintenance,Panel cleaning completed,356,2433.04,Team A
MT-00036,2025-02-12 00:15:00,16,EQ-00430,Preventive Maintenance,Transformer cooling checked,218,1789.12,Team B
MT-00037,2025-01-14 08:30:00,10,EQ-00250,Preventive Maintenance,Loose connection repaired,234,1269.21,Team D
MT-00038,2025-03-28 08:45:00,17,EQ-00449,Preventive Maintenance,Transformer cooling checked,233,2473.76,Team D
MT-00039,2025-10-17 09:00:00,14,EQ-00352,Component Replacement,Firmware updated,134,302.16,Team C
MT-00040,2025-03-31 18:45:00,14,EQ-00359,Corrective Maintenance,Loose connection repaired,28,251.68,Team D
MT-00041,2025-08-27 06:00:00,8,EQ-00209,Cleaning,Sensor recalibrated,260,1220.9,Team A
MT-00042,2025-12-13 02:45:00,2,EQ-00037,Component Replacement,Breaker replaced,18,1174.14,Team C
MT-00043,2025-06-10 15:45:00,14,EQ-00370,Cleaning,Loose connection repaired,193,1078.39,Team B
MT-00044,2025-01-24 23:15:00,16,EQ-00421,Cleaning,Breaker replaced,164,2378.41,Team A
MT-00045,2025-09-29 22:00:00,2,EQ-00038,Inspection,Transformer cooling checked,16,472.62,Team A
MT-00046,2025-07-27 04:30:00,16,EQ-00406,Component Replacement,Sensor recalibrated,98,1563.77,Team C
MT-00047,2025-09-28 17:30:00,20,EQ-00537,Cleaning,Breaker replaced,200,2486.86,Team B
MT-00048,2025-09-09 23:00:00,3,EQ-00075,Inspection,Panel cleaning completed,296,1401.08,Team B
MT-00049,2025-12-04 07:15:00,20,EQ-00537,Inspection,Firmware updated,301,821.76,Team A
MT-00050,2025-02-17 13:00:00,20,EQ-00515,Inspection,Panel cleaning completed,196,745.17,Team D
MT-00051,2025-11-02 08:15:00,19,EQ-00498,Cleaning,Cable inspection completed,177,2141.45,Team B
MT-00052,2025-06-12 04:45:00,12,EQ-00301,Preventive Maintenance,Firmware updated,306,846.97,Team C
MT-00053,2025-11-08 23:30:00,17,EQ-00455,Preventive Maintenance,Breaker replaced,205,2397.7,Team A
MT-00054,2025-09-21 23:30:00,17,EQ-00451,Inspection,Cable inspection completed,132,1794.1,Team B
MT-00055,2025-02-11 21:30:00,14,EQ-00376,Component Replacement,Sensor recalibrated,42,1881.19,Team A
MT-00056,2025-03-18 13:45:00,14,EQ-00373,Cleaning,Panel cleaning completed,50,703.26,Team D
MT-00057,2025-09-14 20:45:00,1,EQ-00004,Preventive Maintenance,Cable inspection completed,322,2086.55,Team B
MT-00058,2025-08-20 19:45:00,7,EQ-00177,Cleaning,Transformer cooling checked,284,2180.56,Team A
MT-00059,2025-12-07 20:00:00,9,EQ-00228,Preventive Maintenance,Firmware updated,113,325.35,Team B
MT-00060,2025-09-21 17:45:00,5,EQ-00118,Preventive Maintenance,Inverter reset performed,41,1533.72,Team C
MT-00061,2025-07-08 23:30:00,20,EQ-00525,Corrective Maintenance,Transformer cooling checked,40,1038.28,Team A
MT-00062,2025-04-20 19:15:00,8,EQ-00200,Preventive Maintenance,Transformer cooling checked,126,1562.35,Team A
MT-00063,2025-05-12 23:30:00,16,EQ-00409,Cleaning,Firmware updated,64,1459.34,Team A
MT-00064,2025-02-20 13:00:00,7,EQ-00188,Corrective Maintenance,Firmware updated,157,1356.39,Team B
MT-00065,2025-09-17 20:30:00,17,EQ-00435,Inspection,Panel cleaning completed,199,578.42,Team B
MT-00066,2025-04-11 04:00:00,20,EQ-00537,Component Replacement,Sensor recalibrated,335,1144.33,Team C
MT-00067,2025-04-30 06:45:00,1,EQ-00003,Component Replacement,Firmware updated,244,556.26,Team D
MT-00068,2025-07-29 13:00:00,2,EQ-00039,Component Replacement,Cable inspection completed,301,1149.75,Team A
MT-00069,2025-08-15 01:15:00,9,EQ-00224,Inspection,Inverter reset performed,354,2118.97,Team A
MT-00070,2025-03-18 19:15:00,17,EQ-00446,Cleaning,Firmware updated,351,1250.73,Team C
MT-00071,2025-09-24 04:00:00,14,EQ-00375,Cleaning,Loose connection repaired,40,1348.05,Team B
MT-00072,2025-12-08 04:00:00,15,EQ-00382,Cleaning,Loose connection repaired,47,2412.7,Team D
MT-00073,2025-06-30 04:30:00,15,EQ-00398,Preventive Maintenance,Loose connection repaired,208,1907.49,Team A
MT-00074,2025-12-21 10:30:00,20,EQ-00517,Cleaning,Breaker replaced,212,183.52,Team A
MT-00075,2025-04-14 23:00:00,18,EQ-00469,Inspection,Breaker replaced,226,796.54,Team B
MT-00076,2025-09-07 10:45:00,6,EQ-00136,Cleaning,Breaker replaced,245,122.8,Team D
MT-00077,2025-10-23 07:15:00,14,EQ-00356,Component Replacement,Firmware updated,99,1987.31,Team A
MT-00078,2025-10-20 16:15:00,7,EQ-00184,Cleaning,Transformer cooling checked,312,1271.27,Team B
MT-00079,2025-05-29 00:15:00,11,EQ-00276,Corrective Maintenance,Firmware updated,98,443.41,Team B
MT-00080,2025-11-20 20:15:00,5,EQ-00129,Cleaning,Cable inspection completed,43,1687.14,Team C
MT-00081,2025-04-23 13:45:00,2,EQ-00045,Preventive Maintenance,Sensor recalibrated,157,1418.03,Team A
MT-00082,2025-10-08 20:30:00,5,EQ-00115,Corrective Maintenance,Firmware updated,179,1890.56,Team A
MT-00083,2025-06-03 15:00:00,13,EQ-00337,Preventive Maintenance,Breaker replaced,321,135.86,Team B
MT-00084,2025-01-10 04:00:00,5,EQ-00110,Cleaning,Transformer cooling checked,100,2228.88,Team D
MT-00085,2025-11-07 21:45:00,16,EQ-00425,Cleaning,Firmware updated,219,2321.46,Team C
MT-00086,2025-03-19 11:45:00,2,EQ-00040,Inspection,Firmware updated,282,1219.44,Team A
MT-00087,2025-08-27 09:45:00,18,EQ-00480,Cleaning,Firmware updated,269,338.11,Team C
MT-00088,2025-03-21 04:00:00,5,EQ-00118,Inspection,Cable inspection completed,228,1930.98,Team C
MT-00089,2025-06-24 21:45:00,5,EQ-00128,Preventive Maintenance,Breaker replaced,185,1790.85,Team B
MT-00090,2025-06-13 10:30:00,17,EQ-00453,Component Replacement,Breaker replaced,35,312.79,Team B
MT-00091,2025-03-01 10:45:00,17,EQ-00453,Component Replacement,Transformer cooling checked,256,105.15,Team B
MT-00092,2025-01-18 13:15:00,2,EQ-00028,Component Replacement,Inverter reset performed,303,2191.54,Team C
MT-00093,2025-09-17 02:45:00,16,EQ-00408,Cleaning,Cable inspection completed,343,208.92,Team A
MT-00094,2025-01-13 03:15:00,13,EQ-00334,Component Replacement,Breaker replaced,172,1764.54,Team D
MT-00095,2025-02-23 10:30:00,18,EQ-00480,Corrective Maintenance,Transformer cooling checked,316,574.55,Team D
MT-00096,2025-02-06 20:30:00,1,EQ-00002,Preventive Maintenance,Transformer cooling checked,85,802.32,Team C
MT-00097,2025-07-04 09:00:00,6,EQ-00152,Component Replacement,Inverter reset performed,244,1463.42,Team A
MT-00098,2025-05-29 04:45:00,2,EQ-00052,Inspection,Transformer cooling checked,256,1188.88,Team A
MT-00099,2025-08-24 00:30:00,2,EQ-00046,Inspection,Cable inspection completed,138,2137.82,Team B
MT-00100,2025-09-14 00:15:00,4,EQ-00106,Component Replacement,Sensor recalibrated,62,1131.89,Team C
MT-00101,2025-10-12 15:30:00,4,EQ-00101,Component Replacement,Loose connection repaired,81,324.94,Team A
MT-00102,2025-07-05 20:00:00,6,EQ-00147,Cleaning,Breaker replaced,323,1622.27,Team C
MT-00103,2025-03-28 00:00:00,10,EQ-00249,Preventive Maintenance,Breaker replaced,102,1259.71,Team B
MT-00104,2025-01-13 01:15:00,6,EQ-00155,Inspection,Transformer cooling checked,125,1757.42,Team B
MT-00105,2025-09-05 13:30:00,1,EQ-00025,Inspection,Inverter reset performed,356,1326.39,Team D
MT-00106,2025-09-18 02:00:00,8,EQ-00215,Corrective Maintenance,Cable inspection completed,46,747.39,Team D
MT-00107,2025-11-28 23:30:00,1,EQ-00008,Inspection,Loose connection repaired,324,1029.46,Team A
MT-00108,2025-05-11 05:45:00,16,EQ-00420,Component Replacement,Loose connection repaired,105,925.64,Team B
MT-00109,2025-03-13 21:45:00,4,EQ-00099,Preventive Maintenance,Cable inspection completed,298,740.75,Team A
MT-00110,2025-02-18 13:45:00,1,EQ-00003,Corrective Maintenance,Sensor recalibrated,149,2057.11,Team D
MT-00111,2025-05-07 05:45:00,2,EQ-00031,Inspection,Panel cleaning completed,42,1980.95,Team B
MT-00112,2025-03-16 21:00:00,6,EQ-00144,Cleaning,Inverter reset performed,277,607.44,Team A
MT-00113,2025-06-30 00:00:00,1,EQ-00002,Corrective Maintenance,Inverter reset performed,328,1841.03,Team A
MT-00114,2025-02-13 12:00:00,9,EQ-00229,Component Replacement,Cable inspection completed,258,533.82,Team B
MT-00115,2025-11-17 20:00:00,4,EQ-00093,Preventive Maintenance,Inverter reset performed,44,1198.02,Team A
MT-00116,2025-07-01 13:30:00,13,EQ-00336,Inspection,Panel cleaning completed,50,196.67,Team C
MT-00117,2025-12-15 15:00:00,19,EQ-00512,Cleaning,Inverter reset performed,29,157.67,Team D
MT-00118,2025-04-20 14:30:00,5,EQ-00131,Preventive Maintenance,Breaker replaced,219,2057.34,Team B
MT-00119,2025-07-03 23:00:00,20,EQ-00523,Corrective Maintenance,Loose connection repaired,352,264.02,Team C
MT-00120,2025-03-23 01:00:00,13,EQ-00350,Component Replacement,Panel cleaning completed,63,2247.53,Team D
MT-00121,2025-08-02 07:45:00,19,EQ-00502,Component Replacement,Firmware updated,287,2298.92,Team D
MT-00122,2025-03-30 11:45:00,20,EQ-00514,Corrective Maintenance,Inverter reset performed,107,481.87,Team B
MT-00123,2025-03-26 15:00:00,3,EQ-00059,Cleaning,Loose connection repaired,117,900.5,Team A
MT-00124,2025-04-24 18:45:00,2,EQ-00054,Cleaning,Loose connection repaired,198,617.37,Team C
MT-00125,2025-04-06 10:15:00,2,EQ-00054,Inspection,Inverter reset performed,300,1275.07,Team A
MT-00126,2025-03-05 05:30:00,11,EQ-00293,Inspection,Inverter reset performed,254,1368.78,Team D
MT-00127,2025-10-22 11:45:00,16,EQ-00412,Preventive Maintenance,Cable inspection completed,273,716.89,Team A
MT-00128,2025-10-12 04:00:00,6,EQ-00143,Corrective Maintenance,Panel cleaning completed,77,2327.57,Team C
MT-00129,2025-11-03 01:00:00,20,EQ-00523,Preventive Maintenance,Cable inspection completed,35,1096.76,Team A
MT-00130,2025-12-26 10:15:00,11,EQ-00275,Component Replacement,Breaker replaced,28,1201.98,Team A
MT-00131,2025-10-06 17:30:00,4,EQ-00108,Cleaning,Sensor recalibrated,305,1977.22,Team D
MT-00132,2025-12-26 22:30:00,12,EQ-00313,Component Replacement,Firmware updated,117,1065.48,Team A
MT-00133,2025-10-29 16:15:00,7,EQ-00177,Cleaning,Loose connection repaired,129,2231.89,Team D
MT-00134,2025-06-10 19:15:00,3,EQ-00075,Cleaning,Inverter reset performed,40,836.9,Team B
MT-00135,2025-04-12 20:15:00,5,EQ-00114,Corrective Maintenance,Cable inspection completed,273,2291.25,Team B
MT-00136,2025-10-07 22:15:00,15,EQ-00380,Inspection,Sensor recalibrated,276,1289.66,Team D
MT-00137,2025-01-22 11:30:00,14,EQ-00353,Preventive Maintenance,Transformer cooling checked,246,291.01,Team B
MT-00138,2025-02-01 07:15:00,4,EQ-00095,Cleaning,Inverter reset performed,283,1509.38,Team D
MT-00139,2025-01-14 23:15:00,1,EQ-00009,Corrective Maintenance,Cable inspection completed,175,1927.07,Team C
MT-00140,2025-02-12 09:00:00,14,EQ-00356,Corrective Maintenance,Loose connection repaired,252,872.65,Team C
MT-00141,2025-09-09 12:45:00,13,EQ-00344,Corrective Maintenance,Loose connection repaired,28,1889.86,Team C
MT-00142,2025-07-03 09:00:00,18,EQ-00485,Corrective Maintenance,Transformer cooling checked,346,2068.94,Team D
MT-00143,2025-05-22 16:30:00,14,EQ-00373,Component Replacement,Inverter reset performed,288,1316.31,Team B
MT-00144,2025-05-06 02:00:00,14,EQ-00361,Corrective Maintenance,Breaker replaced,63,1867.76,Team C
MT-00145,2025-06-21 19:30:00,15,EQ-00394,Preventive Maintenance,Panel cleaning completed,247,2190.89,Team A
MT-00146,2025-10-20 12:30:00,4,EQ-00099,Inspection,Breaker replaced,138,396.16,Team A
MT-00147,2025-01-05 21:00:00,19,EQ-00489,Preventive Maintenance,Firmware updated,266,2425.93,Team D
MT-00148,2025-10-25 07:00:00,16,EQ-00419,Cleaning,Breaker replaced,164,2457.39,Team A
MT-00149,2025-03-28 18:15:00,2,EQ-00050,Corrective Maintenance,Firmware updated,286,2464.53,Team A
MT-00150,2025-07-24 15:30:00,7,EQ-00189,Component Replacement,Firmware updated,359,2067.55,Team A
MT-00151,2025-09-24 17:45:00,8,EQ-00201,Cleaning,Inverter reset performed,274,1379.34,Team C
MT-00152,2025-05-26 10:45:00,17,EQ-00440,Component Replacement,Transformer cooling checked,52,2100.96,Team A
MT-00153,2025-05-01 03:15:00,7,EQ-00164,Component Replacement,Sensor recalibrated,218,136.73,Team B
MT-00154,2025-06-09 07:30:00,6,EQ-00152,Preventive Maintenance,Transformer cooling checked,283,302.29,Team D
MT-00155,2025-10-07 00:00:00,15,EQ-00401,Inspection,Panel cleaning completed,337,1085.97,Team B
MT-00156,2025-10-15 16:00:00,13,EQ-00339,Preventive Maintenance,Sensor recalibrated,102,753.66,Team A
MT-00157,2025-05-01 06:30:00,13,EQ-00330,Preventive Maintenance,Breaker replaced,54,1592.23,Team D
MT-00158,2025-09-13 09:00:00,3,EQ-00074,Cleaning,Loose connection repaired,300,1429.06,Team B
MT-00159,2025-08-02 09:00:00,14,EQ-00364,Component Replacement,Breaker replaced,346,229.46,Team D
MT-00160,2025-09-11 03:00:00,7,EQ-00187,Component Replacement,Sensor recalibrated,350,2012.34,Team B
MT-00161,2025-02-21 12:00:00,19,EQ-00487,Cleaning,Sensor recalibrated,211,1398.56,Team D
MT-00162,2025-04-01 13:15:00,4,EQ-00089,Cleaning,Loose connection repaired,292,425.08,Team C
MT-00163,2025-04-30 13:30:00,18,EQ-00461,Corrective Maintenance,Sensor recalibrated,283,2106.52,Team A
MT-00164,2025-03-08 22:45:00,14,EQ-00363,Corrective Maintenance,Transformer cooling checked,287,1758.69,Team A
MT-00165,2025-02-06 10:30:00,17,EQ-00435,Preventive Maintenance,Transformer cooling checked,208,1619.16,Team B
MT-00166,2025-12-28 07:45:00,3,EQ-00073,Corrective Maintenance,Sensor recalibrated,143,1707.27,Team B
MT-00167,2025-03-13 20:30:00,14,EQ-00371,Corrective Maintenance,Sensor recalibrated,330,643.3,Team B
MT-00168,2025-06-02 19:30:00,2,EQ-00039,Component Replacement,Firmware updated,254,1798.96,Team C
MT-00169,2025-10-23 20:15:00,13,EQ-00350,Component Replacement,Firmware updated,355,2015.81,Team A
MT-00170,2025-03-12 13:45:00,1,EQ-00027,Component Replacement,Panel cleaning completed,77,128.85,Team B
MT-00171,2025-08-09 18:15:00,11,EQ-00272,Cleaning,Loose connection repaired,105,1957.51,Team C
MT-00172,2025-11-07 11:00:00,14,EQ-00364,Cleaning,Panel cleaning completed,314,2304.5,Team A
MT-00173,2025-08-04 23:00:00,8,EQ-00211,Component Replacement,Panel cleaning completed,124,563.98,Team D
MT-00174,2025-01-03 03:00:00,11,EQ-00273,Preventive Maintenance,Loose connection repaired,324,2452.16,Team D
MT-00175,2025-01-10 10:00:00,7,EQ-00174,Cleaning,Inverter reset performed,81,324.48,Team A
MT-00176,2025-11-25 17:15:00,14,EQ-00378,Component Replacement,Loose connection repaired,235,2066.98,Team C
MT-00177,2025-07-30 12:15:00,14,EQ-00352,Corrective Maintenance,Loose connection repaired,139,288.0,Team A
MT-00178,2025-11-14 20:30:00,2,EQ-00050,Inspection,Firmware updated,75,522.86,Team C
MT-00179,2025-11-16 23:30:00,3,EQ-00074,Preventive Maintenance,Transformer cooling checked,277,1339.52,Team B
MT-00180,2025-05-01 12:30:00,15,EQ-00380,Cleaning,Firmware updated,231,216.63,Team A
MT-00181,2025-01-19 19:45:00,19,EQ-00493,Cleaning,Cable inspection completed,223,65.73,Team A
MT-00182,2025-02-10 05:15:00,1,EQ-00001,Preventive Maintenance,Firmware updated,59,772.22,Team C
MT-00183,2025-08-24 13:30:00,5,EQ-00119,Component Replacement,Firmware updated,256,486.45,Team B
MT-00184,2025-05-05 18:00:00,3,EQ-00057,Component Replacement,Loose connection repaired,228,1652.97,Team D
MT-00185,2025-02-21 02:00:00,6,EQ-00158,Corrective Maintenance,Cable inspection completed,273,1407.49,Team A
MT-00186,2025-10-03 11:45:00,11,EQ-00275,Inspection,Sensor recalibrated,293,148.95,Team B
MT-00187,2025-02-21 01:00:00,6,EQ-00155,Inspection,Inverter reset performed,193,1013.09,Team C
MT-00188,2025-06-14 19:45:00,17,EQ-00437,Inspection,Sensor recalibrated,300,1694.14,Team B
MT-00189,2025-01-18 14:15:00,20,EQ-00536,Component Replacement,Transformer cooling checked,311,1388.63,Team B
MT-00190,2025-01-20 00:00:00,20,EQ-00535,Cleaning,Transformer cooling checked,263,734.91,Team A
MT-00191,2025-08-19 07:30:00,11,EQ-00295,Component Replacement,Inverter reset performed,308,2066.8,Team B
MT-00192,2025-07-02 16:30:00,7,EQ-00172,Inspection,Panel cleaning completed,259,1890.28,Team A
MT-00193,2025-04-24 02:45:00,12,EQ-00320,Preventive Maintenance,Sensor recalibrated,281,2147.78,Team C
MT-00194,2025-06-15 17:15:00,18,EQ-00469,Cleaning,Sensor recalibrated,135,166.92,Team C
MT-00195,2025-08-27 19:30:00,14,EQ-00358,Preventive Maintenance,Transformer cooling checked,204,1966.16,Team C
MT-00196,2025-06-11 06:15:00,12,EQ-00312,Cleaning,Inverter reset performed,279,1710.04,Team C
MT-00197,2025-01-21 22:45:00,17,EQ-00441,Inspection,Firmware updated,119,2386.2,Team A
MT-00198,2025-11-25 12:15:00,12,EQ-00311,Preventive Maintenance,Panel cleaning completed,94,1508.37,Team D
MT-00199,2025-11-06 07:15:00,19,EQ-00497,Component Replacement,Transformer cooling checked,210,1917.74,Team B
MT-00200,2025-04-23 03:00:00,19,EQ-00503,Cleaning,Firmware updated,230,2091.11,Team D
MT-00201,2025-10-14 14:30:00,20,EQ-00539,Cleaning,Transformer cooling checked,227,1111.06,Team D
MT-00202,2025-09-30 09:30:00,3,EQ-00056,Corrective Maintenance,Sensor recalibrated,93,1907.83,Team A
MT-00203,2025-12-29 12:30:00,9,EQ-00235,Preventive Maintenance,Sensor recalibrated,200,355.4,Team A
MT-00204,2025-06-17 12:15:00,4,EQ-00089,Corrective Maintenance,Inverter reset performed,47,404.33,Team D
MT-00205,2025-10-27 23:30:00,10,EQ-00269,Cleaning,Cable inspection completed,148,787.45,Team A
MT-00206,2025-05-05 08:30:00,12,EQ-00310,Inspection,Cable inspection completed,196,2048.53,Team C
MT-00207,2025-07-10 02:30:00,10,EQ-00245,Inspection,Cable inspection completed,200,1771.6,Team C
MT-00208,2025-08-04 04:00:00,13,EQ-00349,Cleaning,Sensor recalibrated,145,1418.49,Team D
MT-00209,2025-08-20 07:15:00,9,EQ-00239,Component Replacement,Transformer cooling checked,323,606.6,Team B
MT-00210,2025-12-27 15:00:00,6,EQ-00144,Preventive Maintenance,Cable inspection completed,217,292.22,Team C
MT-00211,2025-09-22 02:30:00,6,EQ-00159,Component Replacement,Breaker replaced,236,2426.09,Team D
MT-00212,2025-11-21 11:45:00,7,EQ-00171,Cleaning,Transformer cooling checked,27,528.29,Team D
MT-00213,2025-05-28 16:30:00,19,EQ-00511,Preventive Maintenance,Firmware updated,21,2455.73,Team B
MT-00214,2025-01-19 11:00:00,3,EQ-00071,Corrective Maintenance,Transformer cooling checked,88,505.52,Team B
MT-00215,2025-06-01 08:00:00,18,EQ-00473,Component Replacement,Panel cleaning completed,251,2050.29,Team A
MT-00216,2025-08-29 18:30:00,3,EQ-00069,Component Replacement,Cable inspection completed,278,111.58,Team B
MT-00217,2025-09-23 15:30:00,19,EQ-00497,Corrective Maintenance,Breaker replaced,266,2031.55,Team C
MT-00218,2025-05-25 03:30:00,19,EQ-00487,Component Replacement,Breaker replaced,64,534.25,Team A
MT-00219,2025-02-13 15:00:00,6,EQ-00139,Inspection,Transformer cooling checked,107,1879.52,Team D
MT-00220,2025-05-19 07:15:00,3,EQ-00066,Cleaning,Breaker replaced,202,129.41,Team D
MT-00221,2025-01-05 10:30:00,19,EQ-00498,Corrective Maintenance,Cable inspection completed,73,170.09,Team B
MT-00222,2025-09-24 17:45:00,7,EQ-00165,Corrective Maintenance,Sensor recalibrated,325,584.05,Team C
MT-00223,2025-12-22 23:15:00,18,EQ-00476,Component Replacement,Sensor recalibrated,239,1271.78,Team D
MT-00224,2025-07-07 17:30:00,14,EQ-00355,Preventive Maintenance,Transformer cooling checked,69,345.67,Team C
MT-00225,2025-03-08 09:30:00,5,EQ-00114,Corrective Maintenance,Panel cleaning completed,335,1526.22,Team D
MT-00226,2025-01-02 16:00:00,10,EQ-00259,Component Replacement,Transformer cooling checked,215,2045.21,Team A
MT-00227,2025-05-22 12:00:00,5,EQ-00133,Cleaning,Panel cleaning completed,60,2179.3,Team C
MT-00228,2025-05-08 17:45:00,3,EQ-00081,Cleaning,Breaker replaced,330,2368.84,Team A
MT-00229,2025-12-26 15:30:00,18,EQ-00476,Component Replacement,Inverter reset performed,36,1774.27,Team B
MT-00230,2025-03-25 16:30:00,16,EQ-00432,Preventive Maintenance,Cable inspection completed,310,983.71,Team A
MT-00231,2025-03-05 09:00:00,16,EQ-00429,Inspection,Panel cleaning completed,131,1064.83,Team B
MT-00232,2025-10-01 10:45:00,20,EQ-00526,Preventive Maintenance,Sensor recalibrated,352,2358.03,Team C
MT-00233,2025-09-08 13:15:00,14,EQ-00362,Cleaning,Panel cleaning completed,137,697.71,Team D
MT-00234,2025-08-25 02:30:00,16,EQ-00426,Component Replacement,Cable inspection completed,96,110.31,Team D
MT-00235,2025-04-22 04:00:00,3,EQ-00068,Corrective Maintenance,Breaker replaced,226,248.59,Team A
MT-00236,2025-05-13 14:00:00,6,EQ-00151,Inspection,Firmware updated,274,2350.46,Team D
MT-00237,2025-01-27 04:00:00,9,EQ-00221,Cleaning,Breaker replaced,231,601.06,Team B
MT-00238,2025-03-03 20:00:00,20,EQ-00524,Preventive Maintenance,Cable inspection completed,306,1839.8,Team C
MT-00239,2025-02-22 02:15:00,3,EQ-00066,Preventive Maintenance,Inverter reset performed,28,633.44,Team D
MT-00240,2025-07-03 04:15:00,7,EQ-00167,Corrective Maintenance,Loose connection repaired,96,2319.07,Team C
MT-00241,2025-12-22 05:15:00,14,EQ-00360,Preventive Maintenance,Inverter reset performed,254,923.56,Team A
MT-00242,2025-09-27 13:30:00,4,EQ-00087,Corrective Maintenance,Firmware updated,89,2145.42,Team A
MT-00243,2025-03-03 07:15:00,12,EQ-00317,Corrective Maintenance,Loose connection repaired,163,1331.87,Team A
MT-00244,2025-11-14 21:45:00,13,EQ-00330,Corrective Maintenance,Sensor recalibrated,44,1734.41,Team D
MT-00245,2025-10-19 21:45:00,3,EQ-00060,Cleaning,Firmware updated,128,2041.7,Team A
MT-00246,2025-04-20 21:00:00,2,EQ-00042,Corrective Maintenance,Transformer cooling checked,60,749.41,Team A
MT-00247,2025-07-15 05:15:00,5,EQ-00114,Cleaning,Panel cleaning completed,88,1872.54,Team A
MT-00248,2025-08-25 09:15:00,20,EQ-00514,Inspection,Transformer cooling checked,121,1669.77,Team D
MT-00249,2025-11-05 06:00:00,10,EQ-00254,Inspection,Loose connection repaired,336,1770.62,Team C
MT-00250,2025-03-03 23:45:00,15,EQ-00387,Corrective Maintenance,Inverter reset performed,219,2144.67,Team D
